,Player,Span,Mat,Inns,Balls,Runs,Wkts,Ave,Econ,SR,4,5,Unnamed: 13,
24,ALF de Mel,(Srilanka),1982-1987,57,57,2735,2237,59,37.91,4.9,46.3,1,2,
25,NA Foster,(England),1984-1989,48,48,2627,1836,59,31.11,4.19,44.5,0,0,
26,Gulbadin Naib,(Afghanistan),2011-2019,65,60,2194,1968,59,33.35,5.38,37.1,2,1,
27,Hamid Hassan,(Afghanistan),2009-2019,38,37,1734,1330,59,22.54,4.6,29.3,2,1,
28,JDS Neesham,(Newzealand),2013-2019,59,55,1772,1814,59,30.74,6.14,30,2,1,
29,Shadab Khan,(Pakistan),2017-2019,43,41,2088,1750,59,29.66,5.02,35.3,3,0,
30,Sikandar Raza,(Zimbabve),2013-2019,97,71,2846,2269,59,38.45,4.78,48.2,0,0,
31,Tapash Baisya,(Bangladesh),2002-2007,56,56,2608,2452,59,41.55,5.64,44.2,2,0,
32,KM Jarvis,(Zimbabve),2009-2019,49,49,2362,2088,58,36,5.3,40.7,2,0,
33,HK Olonga,(Zimbabve),1995-2003,50,49,2059,1977,58,34.08,5.76,35.5,2,2,
34,GC Small,(England),1987-1992,53,53,2793,1942,58,33.48,4.17,48.1,1,0,
35,Mudassar Bukhari,(Netherland),2007-2014,46,46,2036,1601,57,28.08,4.71,35.7,0,0,
36,MJ Clarke,(Australia),2003-2015,245,106,2585,2146,57,37.64,4.98,45.3,1,1,
37,GRJ Matthews,(Australia),1984-1993,59,54,2808,2004,57,35.15,4.28,49.2,0,0,
38,DS Mohanty,(INDIA),1997-2001,45,44,1996,1662,57,29.15,4.99,35,1,0,
39,T Mupariwa,(Zimbabve),2004-2016,40,40,2019,1690,57,29.64,5.02,35.4,3,0,
40,Arshad Khan,(Pakistan),1993-2006,58,56,2823,1948,56,34.78,4.14,50.4,1,0,
41,R Telemachus,(South Africa),1998-2006,37,37,1918,1565,56,27.94,4.89,34.2,1,0,
42,XJ Doherty,(Australia),2010-2015,60,56,2792,2224,55,40.43,4.77,50.7,3,0,
43,AF Giles,(England),1997-2005,62,57,2856,2069,55,37.61,4.34,51.9,0,1,
44,Tauseef Ahmed,(Pakistan),1982-1990,70,67,3250,2247,55,40.85,4.14,59,1,0,
45,RN ten Doeschate,(Netherland),2006-2011,33,33,1580,1327,55,24.12,5.03,28.7,3,0,
46,JR Thomson,(Australia),1975-1985,50,50,2696,1942,55,35.3,4.32,49,1,0,
47,JV Coney,(Newzealand),1979-1987,88,70,2931,2039,54,37.75,4.17,54.2,1,0,
48,N Pradeep,(Srilanka),2012-2019,42,40,1996,1998,54,37,6,36.9,2,0,
49,HH Pandya,(INDIA),2016-2019,54,53,2368,2195,54,40.64,5.56,43.8,0,0,
0,AR Adams,(Newzealand),2001-2007,42,40,1885,1643,53,31,5.22,35.5,2,1,
1,SR Clark,(Australia),2005-2009,39,38,1829,1477,53,27.86,4.84,34.5,2,0,
2,Mohammad Naveed,(UAE),2014-2019,39,39,1938,1757,53,33.15,5.43,36.5,0,1,
3,LS Pascoe,(Australia),1977-1982,29,28,1568,1066,53,20.11,4.07,29.5,4,1,
4,SMSM Senanayake,(Srilanka),2012-2015,49,47,2358,1874,53,35.35,4.76,44.4,1,0,
5,GI Allott,(Newzealand),1997-2000,31,31,1528,1207,52,23.21,4.73,29.3,4,0,
6,NM Coulter0Nile,(Australia),2013-2019,32,32,1678,1555,52,29.9,5.56,32.2,1,0,
7,KSC de Silva,(Srilanka),1996-2000,38,37,1619,1323,52,25.44,4.9,31.1,0,0,
8,DS Lehmann,(Australia),1996-2005,117,62,1793,1445,52,27.78,4.83,34.4,1,0,
9,TM Moody,(Australia),1987-1999,76,66,2797,2014,52,38.73,4.32,53.7,0,0,
10,KA Pollard,(West Indies),2007-2019,107,74,2116,2025,52,38.94,5.74,40.6,0,0,
11,DJ Willey,(England),2015-2019,46,45,1971,1889,52,36.32,5.75,37.9,2,0,
12,A Dananjaya,(Srilanka),2012-2019,36,34,1773,1506,51,29.52,5.09,34.7,2,2,
13,VC Drakes,(West Indies),1995-2004,34,34,1640,1293,51,25.35,4.73,32.1,3,2,
14,BJ McCarthy,(Ireland),2016-2019,27,27,1389,1360,51,26.66,5.87,27.2,2,1,
15,AM Blignaut,(Zimbabve),1999-2010,54,53,2348,2063,50,41.26,5.27,46.9,2,0,
16,GJ Maxwell,(Australia),2012-2019,110,86,2698,2525,50,50.5,5.61,53.9,2,0,
17,JA Morkel,(South Africa),2004-2012,58,52,2073,1899,50,37.98,5.49,41.4,2,0,
18,PM Seelaar,(Netherland),2006-2019,41,41,1901,1476,50,29.52,4.65,38,1,0,
19,T Thushara,(Srilanka),2008-2010,38,38,1676,1393,50,27.86,4.98,33.5,0,1,
20,JH Davey,(Scotland),2010-2019,31,29,1301,1082,49,22.08,4.99,26.5,1,2,
21,CD McMillan,(Newzealand),1997-2007,197,74,1879,1717,49,35.04,5.48,38.3,0,0,
22,AR Nurse,(West Indies),2016-2019,54,49,2384,2125,49,43.36,5.34,48.6,2,0,
23,JS Patel,(Newzealand),2005-2017,43,42,2014,1691,49,34.51,5.03,41.1,0,0,
24,GR Dilley,(England),1979-1988,36,36,2043,1291,48,26.89,3.79,42.5,3,0,
25,JK Kamande,(KENYA),1999-2011,86,71,2619,2169,48,45.18,4.96,54.5,1,0,
26,S Lee,(Australia),1995-2001,45,43,1706,1245,48,25.93,4.37,35.5,1,1,
27,JF Mooney,(Ireland),2006-2015,64,50,1797,1635,48,34.06,5.45,37.4,2,0,
28,CH Morris,(South Africa),2013-2019,42,40,1894,1756,48,36.58,5.56,39.4,2,0,
29,ARC Fraser,(England),1989-1999,42,42,2392,1412,47,30.04,3.54,50.8,1,0,
30,Shahadat Hossain,(Bangladesh),2006-2013,51,50,2198,2143,47,45.59,5.84,46.7,0,0,
31,M Amarnath,(INDIA),1975-1989,85,64,2730,1971,46,42.84,4.33,59.3,0,0,
32,PW Borren,(Netherland),2006-2014,58,51,1979,1620,46,35.21,4.91,43,1,0,
33,N Chopra,(INDIA),1998-2000,39,37,1835,1286,46,27.95,4.2,39.8,1,1,
34,AC Evans,(Scotland),2009-2019,36,35,1678,1499,46,32.58,5.35,36.4,2,0,
35,NAM McLean,(West Indies),1996-2003,45,45,2120,1729,46,37.58,4.89,46,0,0,
36,Mirwais Ashraf,(Afghanistan),2009-2016,46,45,2009,1360,46,29.56,4.06,43.6,1,0,
37,Mohammad Asif,(Pakistan),2005-2010,38,36,1941,1524,46,33.13,4.71,42.1,0,0,
38,SB O'Connor,(Newzealand),1997-2000,38,38,1487,1396,46,30.34,5.63,32.3,1,2,
39,Samiullah Shinwari,(Afghanistan),2009-2019,84,65,2111,1729,46,37.58,4.91,45.8,1,0,
40,BC Strang,(Zimbabve),1995-2001,49,48,2494,1718,46,37.34,4.13,54.2,1,1,
41,MR Whitney,(Australia),1983-1993,38,38,2106,1249,46,27.15,3.55,45.7,2,0,
42,RDB Croft,(England),1996-2001,50,49,2466,1743,45,38.73,4.24,54.8,0,0,
43,GF Labrooy,(Srilanka),1986-1992,44,44,2308,1876,45,41.68,4.87,51.2,1,1,
44,NO Miller,(West Indies),2008-2018,50,46,2125,1660,45,36.88,4.68,47.2,2,0,
45,CM Old,(England),1973-1981,32,31,1755,999,45,22.2,3.41,39,2,0,
46,H Osinde,(CAN),2006-2013,42,41,1692,1389,45,30.86,4.92,37.6,2,0,
47,AR Patel,(INDIA),2014-2017,38,35,1908,1409,45,31.31,4.43,42.4,0,0,
48,DN Patel,(Newzealand),1987-1997,75,69,3251,2261,45,50.24,4.17,72.2,0,0,
49,EC Rainsford,(Zimbabve),2004-2010,39,39,1907,1401,45,31.13,4.4,42.3,1,1,
0,Taskin Ahmed,(Bangladesh),2014-2017,32,31,1413,1401,45,31.13,5.94,31.4,2,1,
1,AR Whittall,(Zimbabve),1996-2000,63,62,3085,2251,45,50.02,4.37,68.5,0,0,
2,HS Baidwan,(CAN),2008-2014,32,32,1551,1348,44,30.63,5.21,35.2,0,0,
3,SP Davis,(Australia),1986-1988,39,39,2016,1133,44,25.75,3.37,45.8,0,0,
4,S Elworthy,(South Africa),1998-2002,39,37,1702,1235,44,28.06,4.35,38.6,0,0,
5,AH Gray,(West Indies),1985-1991,25,24,1270,835,44,18.97,3.94,28.8,2,1,
6,RJ Harris,(Australia),2009-2012,21,20,1031,832,44,18.9,4.84,23.4,0,3,
7,VJ Marks,(England),1980-1988,34,32,1838,1135,44,25.79,3.7,41.7,0,2,
8,MR Marsh,(Australia),2011-2018,53,50,1700,1564,44,35.54,5.52,38.6,1,1,
9,Nazmul Hossain,(Bangladesh),2004-2012,38,37,1649,1386,44,31.5,5.04,37.4,1,0,
10,DR Pringle,(England),1982-1993,44,44,2379,1677,44,38.11,4.22,54,1,0,
11,RP Snell,(South Africa),1991-1996,42,42,2095,1574,44,35.77,4.5,47.6,2,1,
12,DP Viljoen,(Zimbabve),1997-2001,53,46,2075,1639,44,37.25,4.73,47.1,0,0,
13,JC Adams,(West Indies),1992-2001,127,56,1856,1499,43,34.86,4.84,43.1,0,1,
14,CR Brathwaite,(West Indies),2011-2019,44,40,1825,1766,43,41.06,5.8,42.4,2,1,
15,CJ Jordan,(England),2013-2016,31,31,1532,1521,43,35.37,5.95,35.6,0,1,
16,Shapoor Zadran,(Afghanistan),2009-2019,44,44,1983,1589,43,36.95,4.8,46.1,2,0,
17,PR Stirling,(Ireland),2008-2019,114,73,2392,1902,43,44.23,4.77,55.6,1,1,
18,MA Suji,(KENYA),1996-2006,64,64,2952,2190,43,50.93,4.45,68.6,1,0,
19,KLT Arthurton,(West Indies),1988-1999,105,44,1384,1159,42,27.59,5.02,32.9,3,0,
20,AC Botha,(Ireland),2006-2011,42,33,1560,1134,42,27,4.36,37.1,2,0,
21,JW Hastings,(Australia),2010-2017,29,29,1486,1256,42,29.9,5.07,35.3,1,1,
22,Imad Wasim,(Pakistan),2015-2019,53,51,2313,1865,42,44.4,4.83,55,0,1,
23,AR McBrine,(Ireland),2014-2019,42,40,2045,1489,42,35.45,4.36,48.6,0,0,
24,SA Thomson,(Newzealand),1990-1996,56,51,2121,1602,42,38.14,4.53,50.5,0,0,
25,Aftab Alam,(Afghanistan),2010-2019,27,27,1257,1033,41,25.19,4.93,30.6,1,0,
26,JAR Blain,(Scotland),1999-2009,33,32,1329,1173,41,28.6,5.29,32.4,1,1,
27,DG Cork,(England),1992-2002,32,32,1772,1368,41,33.36,4.63,43.2,0,0,
28,CE Cuffy,(West Indies),1994-2002,41,41,2153,1436,41,35.02,4,52.5,1,0,
29,S Dhaniram,(CAN),2006-2010,44,41,1769,1240,41,30.24,4.2,43.1,1,1,
30,SM Ervine,(Zimbabve),2001-2004,42,40,1649,1561,41,38.07,5.67,40.2,0,0,
31,HA Gomes,(West Indies),1978-1987,83,36,1345,1045,41,25.48,4.66,32.8,2,0,
32,AF Milne,(Newzealand),2012-2017,40,39,1801,1581,41,38.56,5.26,43.9,0,0,
33,L Ngidi,(South Africa),2018-2019,22,22,1026,947,41,23.09,5.53,25,2,0,
34,VD Philander,(South Africa),2007-2015,30,28,1279,986,41,24.04,4.62,31.1,2,0,
35,Amir Hamza,(Afghanistan),2012-2017,31,31,1552,1016,40,25.4,3.92,38.8,1,0,
36,RP Arnold,(Srilanka),1997-2007,180,84,2157,1739,40,43.47,4.83,53.9,0,0,
37,RS Bopara,(England),2007-2015,120,74,1860,1523,40,38.07,4.91,46.5,1,0,
38,Saleem Jaffar,(Pakistan),1986-1990,39,39,1900,1382,40,34.55,4.36,47.5,0,0,
39,Shaheen Shah Afridi,(Pakistan),2018-2019,19,18,924,847,40,21.17,5.5,23.1,4,1,
40,SJ Benn,(West Indies),2008-2016,47,46,2387,1913,39,49.05,4.8,61.2,3,0,
41,PT Collins,(West Indies),1999-2005,30,30,1577,1212,39,31.07,4.61,40.4,0,1,
42,SS Cottrell,(West Indies),2015-2019,30,28,1314,1293,39,33.15,5.9,33.6,1,1,
43,WW Davis,(West Indies),1983-1988,35,35,1923,1302,39,33.38,4.06,49.3,0,1,
44,GD Elliott,(Newzealand),2008-2016,83,56,1302,1179,39,30.23,5.43,33.3,1,0,
45,WK McCallan,(Ireland),2006-2009,39,35,1804,1208,39,30.97,4.01,46.2,2,0,
46,H Masakadza,(Zimbabve),2001-2019,209,85,1844,1636,39,41.94,5.32,47.2,0,0,
47,TBA May,(Australia),1987-1995,47,46,2504,1772,39,45.43,4.24,64.2,0,0,
48,MO Odumbe,(KENYA),1996-2003,61,52,2237,1807,39,46.33,4.84,57.3,1,0,
49,IS Sodhi,(Newzealand),2015-2019,31,30,1548,1430,39,36.66,5.54,39.6,1,0,
0,Akram Raza,(Pakistan),1989-1995,49,48,2601,1611,38,42.39,3.71,68.4,0,0,
1,D Bishoo,(West Indies),2011-2019,42,40,2022,1668,38,43.89,4.94,53.2,0,0,
2,MG Hughes,(Australia),1988-1993,33,33,1639,1115,38,29.34,4.08,43.1,1,0,
3,AJ Ireland,(Zimbabve),2005-2007,26,26,1326,1115,38,29.34,5.04,34.8,0,0,
4,Nadeem Ahmed,(HKG),2004-2018,25,25,1327,932,38,24.52,4.21,34.9,4,0,
5,Rohan Mustafa,(UAE),2014-2019,34,33,1583,1245,38,32.76,4.71,41.6,1,1,
6,R Vinay Kumar,(INDIA),2010-2013,31,31,1436,1423,38,37.44,5.94,37.7,1,0,
7,TJ Friend,(Zimbabve),2000-2004,51,45,1930,1779,37,48.08,5.53,52.1,1,0,
8,MR Gillespie,(Newzealand),2006-2009,32,31,1521,1369,37,37,5.4,41.1,1,0,
9,EE Hemmings,(England),1982-1991,33,32,1752,1294,37,34.97,4.43,47.3,1,0,
10,M Kartik,(INDIA),2002-2007,37,36,1907,1612,37,43.56,5.07,51.5,0,1,
11,Mehidy Hasan Miraz,(Bangladesh),2017-2019,38,37,1957,1520,37,41.08,4.66,52.8,1,0,
12,KS Williamson,(Newzealand),2010-2019,149,65,1467,1310,37,35.4,5.35,39.6,1,0,
13,HMCM Bandara,(Srilanka),2006-2010,31,28,1470,1232,36,34.22,5.02,40.8,2,0,
14,EAE Baptiste,(West Indies),1983-1990,43,43,2214,1511,36,41.97,4.09,61.5,0,0,
15,MG Bevan,(Australia),1994-2004,232,67,1966,1655,36,45.97,5.05,54.6,0,0,
16,JM Davison,(CAN),2003-2011,32,31,1435,1067,36,29.63,4.46,39.8,0,0,
17,AIC Dodemaide,(Australia),1988-1993,24,24,1327,753,36,20.91,3.4,36.8,1,1,
18,SB Doull,(Newzealand),1992-2000,42,42,1745,1459,36,40.52,5.01,48.4,1,0,
19,GA Gooch,(England),1976-1995,125,60,2066,1516,36,42.11,4.4,57.3,0,0,
20,S Randiv,(Srilanka),2009-2016,31,29,1437,1214,36,33.72,5.06,39.9,0,1,
21,Khurram Chohan,(CAN),2009-2014,25,24,1186,1029,36,28.58,5.2,32.9,3,1,
22,SK Raina,(INDIA),2005-2018,226,101,2126,1811,36,50.3,5.11,59,0,0,
23,I Wardlaw,(Scotland),2013-2015,22,21,1108,1036,36,28.77,5.61,30.7,2,0,
24,CJ Chibhabha,(Zimbabve),2005-2018,103,58,1667,1615,35,46.14,5.81,47.6,1,0,
25,M Hendrick,(England),1973-1981,22,22,1248,681,35,19.45,3.27,35.6,2,1,
26,NC Johnson,(Zimbabve),1998-2000,48,39,1503,1220,35,34.85,4.87,42.9,1,0,
27,Naeem Islam,(Bangladesh),2008-2014,59,48,1743,1407,35,40.2,4.84,49.8,0,0,
28,CO Obuya,(KENYA),2001-2014,104,49,1818,1637,35,46.77,5.4,51.9,0,1,
29,MRJ Watt,(Scotland),2016-2019,27,27,1443,1033,35,29.51,4.29,41.2,1,0,
30,BA Williams,(Australia),2002-2004,25,24,1203,814,35,23.25,4.05,34.3,1,2,
31,KJ Abbott,(South Africa),2013-2016,28,27,1303,1051,34,30.91,4.83,38.3,2,0,
32,L Balaji,(INDIA),2002-2009,30,30,1447,1344,34,39.52,5.57,42.5,1,0,
33,TL Best,(West Indies),2004-2014,26,26,1300,1157,34,34.02,5.34,38.2,2,0,
34,PKD Chase,(Ireland),2015-2018,25,24,1238,1356,34,39.88,6.57,36.4,0,0,
35,OD Gibson,(West Indies),1995-1997,15,15,739,621,34,18.26,5.04,21.7,2,2,
36,VB John,(Srilanka),1982-1987,45,45,2311,1655,34,48.67,4.29,67.9,0,0,
37,RDM Leverock,(BMUDA),2006-2009,32,32,1684,1123,34,33.02,4,49.5,0,1,
38,RR Powar,(INDIA),2004-2007,31,29,1536,1191,34,35.02,4.65,45.1,0,0,
39,JA Rennie,(Zimbabve),1993-2000,44,43,1965,1564,34,46,4.77,57.7,0,0,
40,KW Richardson,(Australia),2013-2019,22,22,1143,1061,34,31.2,5.56,33.6,0,1,
41,Tahir Naqqash,(Pakistan),1980-1985,40,37,1596,1240,34,36.47,4.66,46.9,0,0,
42,Usman Shinwari,(Pakistan),2017-2019,17,17,768,633,34,18.61,4.94,22.5,3,2,
43,N Vanua,(PNG),2014-2019,23,23,1060,900,34,26.47,5.09,31.1,4,0,
44,KCG Benjamin,(West Indies),1992-1996,26,26,1319,923,33,27.96,4.19,39.9,0,0,
45,U Bhatti,(CAN),2006-2010,36,35,1630,1149,33,34.81,4.22,49.3,1,0,
46,JG Bracewell,(Newzealand),1983-1990,53,50,2447,1884,33,57.09,4.61,74.1,0,0,
47,ST Gabriel,(West Indies),2016-2019,25,25,1148,1134,33,34.36,5.92,34.7,0,0,
48,YK Pathan,(INDIA),2008-2012,57,50,1490,1365,33,41.36,5.49,45.1,0,0,
49,E Schiferli,(Netherland),2002-2013,30,30,1294,1008,33,30.54,4.67,39.2,3,0,
0,Shabbir Ahmed,(Pakistan),1999-2005,32,32,1642,1192,33,36.12,4.35,49.7,0,0,
1,Sikander Bakht,(Pakistan),1977-1989,27,27,1277,860,33,26.06,4.04,38.6,1,0,
2,EO Simons,(South Africa),1994-1995,23,23,1212,810,33,24.54,4,36.7,1,0,
3,MP Stoinis,(Australia),2015-2019,41,39,1414,1446,33,43.81,6.13,42.8,0,0,
4,SD Anurasiri,(Srilanka),1986-1994,45,43,2100,1464,32,45.75,4.18,65.6,0,0,
5,RD Berrington,(Scotland),2008-2019,78,51,1394,1228,32,38.37,5.28,43.5,1,0,
6,PP Chawla,(INDIA),2007-2011,25,25,1312,1117,32,34.9,5.1,41,2,0,
7,AC Dale,(Australia),1997-2000,30,30,1596,979,32,30.59,3.68,49.8,0,0,
8,DS de Silva,(Srilanka),1975-1985,41,40,2076,1557,32,48.65,4.5,64.8,0,0,
9,MJ Hoggard,(England),2001-2006,26,26,1306,1152,32,36,5.29,40.8,0,1,
10,AJ Hollioake,(England),1996-1999,35,32,1208,1019,32,31.84,5.06,37.7,2,0,
11,Imran Haider,(UAE),2017-2019,20,20,943,841,32,26.28,5.35,29.4,2,0,
12,JM Kemp,(South Africa),2001-2007,85,48,1303,1015,32,31.71,4.67,40.7,0,0,
13,KTGD Prasad,(Srilanka),2006-2015,24,24,1015,976,32,30.5,5.76,31.7,0,0,
14,S Prasanna,(Srilanka),2011-2019,40,39,1945,1767,32,55.21,5.45,60.7,0,0,
15,Rizwan Cheema,(CAN),2008-2013,33,32,1330,1095,32,34.21,4.93,41.5,0,0,
16,GB Troup,(Newzealand),1976-1985,22,22,1180,791,32,24.71,4.02,36.8,3,0,
17,DL Underwood,(England),1973-1982,26,24,1278,734,32,22.93,3.44,39.9,1,0,
18,BV Vitori,(Zimbabve),2011-2018,24,24,1193,1149,32,35.9,5.77,37.2,0,2,
19,Arshad Ayub,(INDIA),1987-1990,32,32,1769,1216,31,39.22,4.12,57,0,1,
20,JW Dernbach,(England),2011-2013,24,24,1234,1308,31,42.19,6.35,39.8,1,0,
21,KS Lokuarachchi,(Srilanka),2003-2007,21,21,1011,725,31,23.38,4.3,32.6,1,0,
22,MJ Mason,(Newzealand),2003-2010,26,25,1179,1024,31,33.03,5.21,38,1,0,
23,MM Sharma,(INDIA),2013-2015,26,25,1121,1020,31,32.9,5.45,36.1,1,0,
24,Zahoor Khan,(UAE),2017-2019,17,17,750,703,31,22.67,5.62,24.1,0,1,
25,Abdur Rehman,(Pakistan),2006-2014,31,31,1624,1142,30,38.06,4.21,54.1,1,0,
26,CEH Croft,(West Indies),1977-1981,19,19,1070,620,30,20.66,3.47,35.6,0,1,
27,GA Hick,(England),1991-2001,120,47,1236,1026,30,34.2,4.98,41.2,0,1,
28,RK Illingworth,(England),1991-1996,25,25,1501,1059,30,35.3,4.23,50,0,0,
29,AS Joseph,(West Indies),2016-2019,22,21,1033,1107,30,36.9,6.42,34.4,1,1,
30,SI Mahmood,(England),2004-2009,26,25,1197,1169,30,38.96,5.85,39.9,1,0,
31,DA Marillier,(Zimbabve),2000-2003,48,35,1574,1235,30,41.16,4.7,52.4,1,0,
32,PR Adams,(South Africa),1996-2003,24,23,1109,815,29,28.1,4.4,38.2,0,0,
33,RK Chauhan,(INDIA),1993-1997,35,34,1634,1216,29,41.93,4.46,56.3,0,0,
34,MD Crowe,(Newzealand),1982-1995,143,46,1296,954,29,32.89,4.41,44.6,0,0,
35,TBM de Leede,(Netherland),1996-2007,29,29,1139,999,29,34.44,5.26,39.2,1,0,
36,Ehsan Khan,(HKG),2016-2018,15,15,807,594,29,20.48,4.41,27.8,1,0,
37,Hasibul Hossain,(Bangladesh),1995-2004,32,32,1375,1338,29,46.13,5.83,47.4,1,0,
38,BW Hilfenhaus,(Australia),2007-2012,25,25,1216,1075,29,37.06,5.3,41.9,0,1,
39,NM Lyon,(Australia),2012-2019,29,29,1626,1334,29,46,4.92,56,1,0,
40,Manzoor Elahi,(Pakistan),1984-1995,54,49,1743,1262,29,43.51,4.34,60.1,0,0,
41,BA Murphy,(Zimbabve),2000-2003,31,29,1422,1130,29,38.96,4.76,49,0,0,
42,D Pretorius,(South Africa),2016-2019,22,22,1022,813,29,28.03,4.77,35.2,0,0,
43,FA Rose,(West Indies),1997-2000,27,27,1326,1046,29,36.06,4.73,45.7,0,1,
44,RJ Sidebottom,(England),2001-2010,25,25,1277,1039,29,35.82,4.88,44,0,0,
45,CM Wright,(Scotland),2006-2009,20,19,861,663,29,22.86,4.62,29.6,1,0,
46,Ahmed Raza,(UAE),2014-2019,28,28,1505,1011,28,36.1,4.03,53.7,1,0,
47,IG Butler,(Newzealand),2002-2010,26,25,1109,1038,28,37.07,5.61,39.6,1,0,
48,WW Hinds,(West Indies),1999-2010,119,34,945,837,28,29.89,5.31,33.7,0,0,
49,BMAJ Mendis,(Srilanka),2010-2019,58,49,1404,1204,28,43,5.14,50.1,0,0,
0,SPD Smith,(Australia),2010-2019,118,39,1070,963,28,34.39,5.4,38.2,0,0,
1,DT Tiripano,(Zimbabve),2014-2019,31,29,1220,1122,28,40.07,5.51,43.5,0,1,
2,Ata0ur0Rehman,(Pakistan),1992-1996,30,30,1492,1186,27,43.92,4.76,55.2,0,0,
3,HK Bennett,(Newzealand),2010-2017,16,15,718,621,27,23,5.18,26.5,2,0,
4,TK Curran,(England),2017-2019,17,17,762,805,27,29.81,6.33,28.2,1,1,
5,PW Gunaratne,(Srilanka),2002-2003,23,23,959,908,27,33.62,5.68,35.5,1,0,
6,KM Jadhav,(INDIA),2014-2019,71,42,1187,1020,27,37.77,5.15,43.9,0,0,
7,AY Karim,(KENYA),1996-2003,34,33,1568,1114,27,41.25,4.26,58,0,1,
8,AJ McKay,(Newzealand),2010-2012,19,19,926,800,27,29.62,5.18,34.2,2,0,
9,PJ Martin,(England),1995-1998,20,20,1048,806,27,29.85,4.61,38.8,1,0,
10,RAP Nissanka,(Srilanka),2001-2003,23,23,997,857,27,31.74,5.15,36.9,1,0,
11,A Vala,(PNG),2014-2019,27,26,1038,648,27,24,3.74,38.4,0,0,
12,CA Young,(Ireland),2014-2017,13,12,657,563,27,20.85,5.14,24.3,0,1,
13,PH Edmonds,(England),1977-1987,29,27,1534,965,26,37.11,3.77,59,0,0,
14,AP Gurusinha,(Srilanka),1985-1996,147,55,1585,1354,26,52.07,5.12,60.9,0,0,
15,LN Onyango,(KENYA),1996-2014,29,28,995,981,26,37.73,5.91,38.2,0,0,
16,AM Phangiso,(South Africa),2013-2016,21,21,1085,829,26,31.88,4.58,41.7,0,0,
17,DN Crookes,(South Africa),1994-2000,32,30,1221,1011,25,40.44,4.96,48.8,0,0,
18,GD Drummond,(Scotland),2007-2013,30,29,1263,932,25,37.28,4.42,50.5,1,0,
19,LM Jongwe,(Zimbabve),2014-2016,22,22,863,759,25,30.36,5.27,34.5,0,1,
20,A Kuruvilla,(INDIA),1997-1997,25,25,1131,890,25,35.6,4.72,45.2,1,0,
21,D Langford0Smith,(Ireland),2006-2008,22,21,942,797,25,31.88,5.07,37.6,0,0,
22,SW Masakadza,(Zimbabve),2010-2014,16,16,791,891,25,35.64,6.75,31.6,3,0,
23,G Miller,(England),1977-1984,25,24,1268,813,25,32.52,3.84,50.7,0,0,
24,CA Soper,(PNG),2016-2019,20,20,900,733,25,29.32,4.88,36,0,1,
25,K Srikkanth,(INDIA),1981-1992,146,33,712,641,25,25.64,5.4,28.4,0,2,
26,AR White,(Ireland),2006-2014,61,35,869,688,25,27.52,4.75,34.7,1,0,
27,KIW Wijegunawardene,(Srilanka),1988-1992,26,25,1186,986,25,39.44,4.98,47.4,1,0,
28,Alok Kapali,(Bangladesh),2002-2011,69,49,1452,1255,24,52.29,5.18,60.5,0,0,
29,Arafat Sunny,(Bangladesh),2014-2015,16,16,830,600,24,25,4.33,34.5,2,0,
30,ID Blackwell,(England),2002-2006,34,26,1230,877,24,36.54,4.27,51.2,0,0,
31,C de Grandhomme,(Newzealand),2012-2019,38,38,1296,1046,24,43.58,4.84,54,0,0,
32,Harvinder Singh,(INDIA),1997-2001,16,16,686,609,24,25.37,5.32,28.5,0,0,
33,RC Irani,(England),1996-2003,31,30,1283,989,24,41.2,4.62,53.4,1,1,
34,PW Jarvis,(England),1988-1993,16,16,879,672,24,28,4.58,36.6,1,1,
35,MBS Jonkman,(Netherland),2006-2010,16,16,719,565,24,23.54,4.71,29.9,0,0,
36,JK Lever,(England),1976-1982,22,22,1152,713,24,29.7,3.71,48,1,0,
37,Manjural Islam,(Bangladesh),1999-2003,34,34,1591,1284,24,53.5,4.84,66.2,0,0,
38,Mohammad Saifuddin,(Bangladesh),2017-2019,20,20,912,909,24,37.87,5.98,38,0,0,
39,Nasir Hossain,(Bangladesh),2011-2018,65,43,1256,988,24,41.16,4.71,52.3,0,0,
40,MS Panesar,(England),2007-2007,26,26,1308,980,24,40.83,4.49,54.5,0,0,
41,SR Patel,(England),2008-2013,36,32,1187,1091,24,45.45,5.51,49.4,0,1,
42,KR PushPakistanumara,(Srilanka),1994-1999,31,31,1430,1181,24,49.2,4.95,59.5,0,0,
43,JA Richardson,(Australia),2018-2019,12,12,648,632,24,26.33,5.85,27,1,0,
44,O Thomas,(West Indies),2018-2019,19,18,716,825,24,34.37,6.91,29.8,1,1,
45,Yasir Shah,(Pakistan),2011-2019,25,24,1293,1150,24,47.91,5.33,53.8,1,1,
46,Aizaz Cheema,(Pakistan),2011-2012,14,14,658,593,23,25.78,5.4,28.6,2,0,
47,JC Archer,(England),2019-2019,14,14,737,569,23,24.73,4.63,32,0,0,
48,DAJ Bracewell,(Newzealand),2011-2019,19,19,932,798,23,34.69,5.13,40.5,1,0,
49,NG Cowans,(England),1983-1985,23,23,1282,913,23,39.69,4.27,55.7,0,0,
0,KM Dabengwa,(Zimbabve),2005-2010,37,35,1109,936,23,40.69,5.06,48.2,0,0,
1,WW Daniel,(West Indies),1978-1984,18,18,912,595,23,25.86,3.91,39.6,0,0,
2,SR Gillespie,(Newzealand),1986-1988,19,19,963,736,23,32,4.58,41.8,1,0,
